class	date	title
1	29-Aug	Introductions
2	5-Sep	Internet sausage making basics, examples of data journalism
3	12-Sep	An introduction to mapping
4	19-Sep	Introduction to Excel and asking data questions
5	26-Sep	More Excel practice
6	3-Oct	Using the Chrome Inspector
7	10-Oct	Charts
8	17-Oct	Scraping, cleaning
9	24-Oct
10	31-Oct
11	7-Nov
12	14-Nov
13	21-Nov	Project help
-	28-Nov	No Class (Thanksgiving)
14	5-Dec	Project help
15	12-Dec	Presentations
